OBJECTID,CHANGE_NUM,MINOR_CHAN,CURRENT_NE,IN_SERVICE,ROUTE_ID,LOCAL_EXPR,ROUTE_NUM,SHAPE_Leng
"2","143","10",IN SERVICE,Y,"100002",L,"10",28418.9220217388
"112","143","10",IN SERVICE,Y,"100223",L,"43",54677.781817285
"122","143","10",IN SERVICE,Y,"100227",L,"47",21936.0877369845
"126","143","10",IN SERVICE,Y,"100249",L,"60",94403.0134826486
"183","143","10",IN SERVICE,Y,"100275",L,"8",51624.7459007346
"195","143","10",IN SERVICE,Y,"100479",L,"599",203370.350553783
"203","143","10",IN SERVICE,Y,"100289",E,"9",60096.3742071265
"209","143","10",IN SERVICE,Y,"100447",L,"49",56124.5492334103
"217","143","11",CURRENT,N,"100002",L,"10",28418.9220217388
"336","143","11",CURRENT,N,"100223",L,"43",54677.7818769373
"346","143","11",CURRENT,N,"100227",L,"47",21936.0877369845
"350","143","11",CURRENT,N,"100249",L,"60",94403.0134826486
"407","143","11",CURRENT,N,"100275",L,"8",51624.7459007346
"419","143","11",CURRENT,N,"100479",L,"599",203370.350553783
"427","143","11",CURRENT,N,"100289",E,"9",60096.3742071265
"433","143","11",CURRENT,N,"100447",L,"49",56124.5492334103
"441","144","0",NEXT,N,"100002",L,"10",28418.9220217388
"550","144","0",NEXT,N,"100289",E,"9",60096.3742071265
"587","144","0",NEXT,N,"100223",L,"43",54677.781817285
"596","144","0",NEXT,N,"100227",L,"47",21936.0877369845
"598","144","0",NEXT,N,"100275",L,"8",51624.7459007346
"601","144","0",NEXT,N,"100249",L,"60",94403.0134826486
"610","144","0",NEXT,N,"100479",L,"599",214335.900803041
"624","144","0",NEXT,N,"102650",L,"636",326199.004782071
"635","144","0",NEXT,N,"100447",L,"49",56124.5492334103
"4","143","10",IN SERVICE,Y,"100003",L,"101",128466.60281086
"7","143","10",IN SERVICE,Y,"100011",L,"111",238409.532861852
"11","143","10",IN SERVICE,Y,"100013",L,"114",169633.219743421
"13","143","10",IN SERVICE,Y,"100009",L,"11",41145.658756297
"28","143","10",IN SERVICE,Y,"100045",L,"150",182312.298172305
"32","143","10",IN SERVICE,Y,"100041",E,"143",240917.869770227
"36","143","10",IN SERVICE,Y,"100051",L,"158",280529.563477024
"37","143","10",IN SERVICE,Y,"100052",L,"159",291303.416399054
"44","143","10",IN SERVICE,Y,"100069",L,"178",277637.532482425
"45","143","10",IN SERVICE,Y,"100070",L,"179",278068.991746324
"48","143","10",IN SERVICE,Y,"100068",L,"177",249196.596539058
"49","143","10",IN SERVICE,Y,"100084",L,"192",205645.507307737
"54","143","10",IN SERVICE,Y,"100082",L,"190",217337.604705623
"56","143","10",IN SERVICE,Y,"100104",L,"212",138603.530074605
"57","143","10",IN SERVICE,Y,"100088",L,"197",316682.536370912
"62","143","10",IN SERVICE,Y,"100110",L,"219",276134.947919218
"64","143","10",IN SERVICE,Y,"100106",L,"214",190634.874559322
"65","143","10",IN SERVICE,Y,"100108",L,"216",287287.712242691
"66","143","10",IN SERVICE,Y,"100109",L,"217",171190.16645958
"81","143","10",IN SERVICE,Y,"100159",L,"268",191797.914430618
"82","143","10",IN SERVICE,Y,"100143",L,"252",189768.928727223
"83","143","10",IN SERVICE,Y,"100146",L,"255",187823.237570474
"84","143","10",IN SERVICE,Y,"100148",L,"257",212333.047433968
"92","143","10",IN SERVICE,Y,"100232",E,"522",205563.280382908
"93","143","10",IN SERVICE,Y,"100263",L,"7",77483.6661488548
"95","143","10",IN SERVICE,Y,"100236",E,"545",193740.493935985
"97","143","10",IN SERVICE,Y,"100186",L,"311",221442.896171052
"100","143","10",IN SERVICE,Y,"100187",E,"312",111891.218087506
"102","143","10",IN SERVICE,Y,"100239",E,"550",116559.831331312
"103","143","10",IN SERVICE,Y,"100268",L,"74",68924.8018626701
"104","143","10",IN SERVICE,Y,"100190",L,"316",99447.1261205249
"108","143","10",IN SERVICE,Y,"100221",L,"41",152427.766529307
"109","143","10",IN SERVICE,Y,"100240",E,"554",260135.491996452
