"vehicleid","date","start_rounded","finish_rounded","tripid"
2643,"2020-08-06","17:25:00","17:50:00",47581452
2649,"2020-08-03","16:50:00","16:55:00",47581446
2649,"2020-08-06","17:10:00","17:35:00",47581544
2656,"2020-08-03","07:50:00","08:10:00",47581501
2657,"2020-08-06","16:50:00","16:55:00",47581446
2667,"2020-08-04","17:10:00","17:35:00",47581545
2670,"2020-08-03","06:55:00","07:20:00",47581396
2682,"2020-08-03","17:30:00","18:00:00",47581454
2685,"2020-08-07","16:50:00","16:55:00",47581446
2689,"2020-08-04","08:55:00","09:20:00",47581506
2700,"2020-08-04","06:55:00","07:15:00",47581377
2704,"2020-08-05","08:10:00","08:15:00",47580720
2704,"2020-08-05","16:15:00","16:20:00",47580736
2704,"2020-08-06","08:10:00","08:20:00",47581006
2720,"2020-08-05","17:00:00","17:05:00",47581541
2732,"2020-08-03","17:25:00","17:30:00",47582332
2736,"2020-08-03","17:45:00","18:10:00",47581548
2736,"2020-08-04","17:00:00","17:10:00",47581444
2739,"2020-08-04","16:45:00","16:50:00",47581446
2739,"2020-08-07","06:00:00","06:05:00",47581999
2746,"2020-08-05","08:45:00","09:10:00",47581386
2753,"2020-08-03","07:00:00","07:05:00",47581001
2753,"2020-08-03","08:10:00","08:20:00",47581006
2783,"2020-08-03","06:55:00","07:00:00",47582319
2783,"2020-08-07","16:45:00","16:50:00",47580737
2790,"2020-08-05","07:45:00","07:50:00",47580719
2812,"2020-08-06","08:10:00","08:15:00",47580720
3745,"2020-08-04","16:45:00","16:55:00",44053860
4302,"2020-08-03","06:25:00","06:30:00",41979620
4302,"2020-08-03","06:35:00","06:50:00",41979621
4302,"2020-08-03","17:05:00","17:15:00",41979642
4304,"2020-08-05","08:50:00","08:55:00",40685349
4304,"2020-08-06","08:05:00","08:25:00",41979685
4304,"2020-08-06","08:55:00","09:15:00",41979687
4304,"2020-08-07","16:20:00","16:25:00",40685582
4305,"2020-08-07","08:40:00","08:45:00",40685330
4306,"2020-08-03","16:50:00","17:00:00",44297856
4306,"2020-08-04","08:00:00","08:05:00",40685331
4306,"2020-08-07","06:20:00","06:35:00",41979574
4306,"2020-08-07","06:55:00","07:05:00",41979575
4306,"2020-08-07","08:05:00","08:20:00",41979578
4307,"2020-08-03","17:35:00","17:40:00",40685652
4308,"2020-08-04","08:30:00","08:40:00",44297814
4309,"2020-08-05","06:55:00","07:05:00",40685283
4311,"2020-08-04","08:15:00","08:20:00",40685314
4312,"2020-08-03","17:40:00","17:55:00",41979711
4312,"2020-08-04","17:50:00","17:55:00",44297890
4312,"2020-08-06","17:10:00","17:25:00",44297793
4315,"2020-08-06","17:00:00","17:10:00",41979734
